number	Name	latency	urevent	duration
1	Date: 2020-3-5  TimeStart- 17:11:9	0.000000	1	-1.000000
2	2020_03_05_17_02_44	0.000000	2	-1.000000
3		0.500000	3	-1.000000
4	Eyes Open	5.890000	4	-1.000000
5	Eyes Close	23.064000	5	-1.000000
6	Eyes Open	37.244000	6	-1.000000
7	l	71.974000	7	-1.000000
8	r	90.347000	8	-1.000000
9	Electrical Noise	97.268000	9	-1.000000
10	's	213.908000	10	-1.000000
11	b	244.756000	11	-1.000000
12	s	257.035000	12	-1.000000
13	Awake	286.606000	13	-1.000000
14	l	294.411000	14	-1.000000
15	r	330.348000	15	-1.000000
16	b	401.104000	16	-1.000000
17	Eyes Close	427.132000	17	-1.000000
18	s	433.379000	18	-1.000000
19	Eyes Open	441.960000	19	-1.000000
20	Eyes Close	449.654000	20	-1.000000
21	b	477.595000	21	-1.000000
22	Eyes Close	500.162000	22	-1.000000
23	r	512.683000	23	-1.000000
24	Eyes Close	530.553000	24	-1.000000
25	l	563.168000	25	-1.000000
26	Eyes Close	584.850000	26	-1.000000
27	s	618.474000	27	-1.000000
28	Eyes Close	626.967000	28	-1.000000
29	s	643.147000	29	-1.000000
30	Eyes Close	671.649000	30	-1.000000
31	l	691.137000	31	-1.000000
32	Eyes Close	710.155000	32	-1.000000
33	r	723.623000	33	-1.000000
34	Eyes Close	744.871000	34	-1.000000
35	Eyes Open	822.110000	35	-1.000000
36	Eyes Close	825.045000	36	-1.000000
37	Eyes Close	825.977000	37	-1.000000
38	Eyes Open	834.775000	38	-1.000000
39	L	845.140000	39	-1.000000
40	Eyes Open	854.217000	40	-1.000000
41	Eyes Close	875.105000	41	-1.000000
42	B	885.270000	42	-1.000000
43	Eyes Open	906.250000	43	-1.000000
44	Eyes Close	913.544000	44	-1.000000
45	S	924.430000	45	-1.000000
46	Eyes Close	939.307000	46	-1.000000
47	Eyes Open	944.689000	47	-1.000000
48	R	963.852000	48	-1.000000
49	Eyes Open	1118.491000	49	-1.000000
50	Eyes Close	1139.255000	50	-1.000000
51	R	1147.128000	51	-1.000000
52	S	1170.008000	52	-1.000000
53	Eyes Open	1170.993000	53	-1.000000
54	Eyes Close	1178.458000	54	-1.000000
55	Eyes Open	1188.713000	55	-1.000000
56	Eyes Close	1208.453000	56	-1.000000
57	B	1218.532000	57	-1.000000
58	Eyes Open	1249.508000	58	-1.000000
59	L	1252.527000	59	-1.000000
60	Eyes Close	1257.311000	60	-1.000000
61	Eyes Open	1291.634000	61	-1.000000
62	Eyes Close	1298.066000	62	-1.000000
63	S	1306.715000	63	-1.000000
64	Eyes Open	1332.549000	64	-1.000000
65	Eyes Close	1339.399000	65	-1.000000
66	R	1350.019000	66	-1.000000
67	Eyes Open	1362.196000	67	-1.000000
